generation;best;average
0;9.9;9.65249
1;9.9;9.62
2;9.9;9.65
3;9.9;9.616
4;9.9;9.65849
5;9.9;9.65799
6;9.9;9.607
7;9.9;9.65749
8;9.9;9.66949
9;9.9;9.6435
10;9.9;9.69749
11;9.9;9.64649
12;11.5;9.65899
13;10.31;9.65054
14;10.69;9.65544
15;11.48;9.6619
16;13.85;9.69824
17;13.57;9.67684
18;14.21;9.66204
19;10.75;9.66874
20;11.01;9.67704
21;13.09;9.67294
22;11.78;9.66589
23;10.69;9.64395
24;11.13;9.67565
25;12.77;9.67035
26;12.04;9.6742
27;13.46;9.69629
28;11.48;9.65989
29;11.47;9.66184
30;10.67;9.65984
31;10.72;9.65459
32;10.35;9.68124
33;12.63;9.65465
34;11.84;9.6647
35;12.81;9.68839
36;13.14;9.67494
37;11.77;9.69134
